index,Player,Year of Birth,G,WS,Seasons,WS/Season,Time line adjusted,Career Value,Three Best Years,5 year Total WS,Total
3268,Michael Hawkins,1973.0,75.0,0.2,0.9146341463414634,0.21866666666666668,17.3,0.039968025579536375,0.06666666666666667,,
3269,Rawle Marshall,1983.0,63.0,0.2,0.7682926829268293,0.26031746031746034,18.3,0.039968025579536375,0.1,,
3270,Stanley Brundy,1968.0,16.0,0.2,0.1951219512195122,1.025,16.8,0.039968025579536375,0.2,,
3271,Dontell Jefferson,1984.0,6.0,0.2,0.07317073170731707,2.733333333333334,18.4,0.039968025579536375,0.2,,
3272,Travis Hansen,1979.0,41.0,0.2,0.5,0.4,17.9,0.039968025579536375,0.2,,
3273,Marko Milič,1978.0,44.0,0.19999999999999998,0.5365853658536586,0.3727272727272727,17.8,0.03996802557953637,0.09999999999999999,,
3274,Stan Brown,1930.0,34.0,0.19999999999999998,0.4146341463414634,0.4823529411764706,13.0,0.03996802557953637,0.09999999999999999,,
3275,William Franklin,1950.0,107.0,0.19999999999999998,1.3048780487804879,0.15327102803738316,15.0,0.03996802557953637,0.06666666666666667,,
3276,Nathan Jawai,1987.0,45.0,0.19999999999999998,0.5487804878048781,0.3644444444444444,18.7,0.03996802557953637,0.09999999999999999,,
3277,Glenn Mosley,1956.0,32.0,0.19999999999999998,0.3902439024390244,0.5125,15.6,0.03996802557953637,0.09999999999999999,,
3278,Johnny O'Bryant,1994.0,147.0,0.19999999999999998,1.7926829268292683,0.11156462585034012,19.4,0.03996802557953637,0.2333333333333333,,
3279,Paul Stovall,1949.0,38.0,0.19999999999999998,0.4634146341463415,0.431578947368421,14.9,0.03996802557953637,0.09999999999999999,,
3280,Jerald Honeycutt,1975.0,54.0,0.19999999999999998,0.6585365853658537,0.30370370370370364,17.5,0.03996802557953637,0.09999999999999999,,
3281,DeWayne Scales,1959.0,49.0,0.19999999999999998,0.5975609756097561,0.33469387755102037,15.9,0.03996802557953637,0.06666666666666667,,
3282,Jeremy Tyler,1992.0,104.0,0.19999999999999996,1.2682926829268293,0.15769230769230766,19.2,0.03996802557953637,0.06666666666666667,,
3283,Dick Surhoff,1930.0,58.0,0.19999999999999996,0.7073170731707317,0.2827586206896551,13.0,0.03996802557953637,0.09999999999999998,,
3285,Ed Gray,1976.0,60.0,0.10000000000000009,0.7317073170731707,0.1366666666666668,17.6,0.019992003198720527,0.050000000000000044,,
3286,Jerome Allen,1973.0,117.0,0.10000000000000003,1.4268292682926829,0.07008547008547011,17.3,0.01999200319872052,0.05000000000000002,,
3287,Loyd King,1950.0,84.0,0.10000000000000003,1.024390243902439,0.09761904761904765,15.0,0.01999200319872052,0.05000000000000002,,
3288,Conner Henry,1964.0,93.0,0.10000000000000003,1.1341463414634145,0.08817204301075272,16.4,0.01999200319872052,0.05000000000000002,,
3289,Wayne Selden,1995.0,124.0,0.10000000000000003,1.5121951219512195,0.06612903225806453,19.5,0.01999200319872052,0.03333333333333335,,
3290,Curtis Kitchen,1964.0,6.0,0.1,0.07317073170731707,1.366666666666667,16.4,0.01999200319872051,0.1,,
3291,Barry Kramer,1943.0,59.0,0.1,0.7195121951219512,0.13898305084745763,14.3,0.01999200319872051,0.05,,
3292,Harold Keeling,1964.0,20.0,0.1,0.24390243902439024,0.41000000000000003,16.4,0.01999200319872051,0.1,,
3293,Mack Daughtry,1947.0,4.0,0.1,0.04878048780487805,2.05,14.7,0.01999200319872051,0.1,,
3294,Hank Biasatti,1922.0,6.0,0.1,0.07317073170731707,1.366666666666667,12.2,0.01999200319872051,0.1,,
3295,Lamar Patterson,1992.0,40.0,0.1,0.4878048780487805,0.20500000000000002,19.2,0.01999200319872051,0.05,,
3296,Marcus Webb,1971.0,9.0,0.1,0.10975609756097561,0.9111111111111112,17.1,0.01999200319872051,0.1,,
3297,Igor Rakočević,1979.0,42.0,0.1,0.5121951219512195,0.19523809523809524,17.9,0.01999200319872051,0.1,,
3298,Eddie Phillips,1962.0,48.0,0.1,0.5853658536585366,0.17083333333333336,16.2,0.01999200319872051,0.1,,
3299,Cal Ramsey,1938.0,13.0,0.1,0.15853658536585366,0.6307692307692307,13.8,0.01999200319872051,0.05,,
3300,Al Miksis,1929.0,8.0,0.1,0.0975609756097561,1.025,12.9,0.01999200319872051,0.1,,
3301,Jim Reid,1946.0,6.0,0.1,0.07317073170731707,1.366666666666667,14.6,0.01999200319872051,0.1,,
3302,Mangok Mathiang,1993.0,4.0,0.1,0.04878048780487805,2.05,19.3,0.01999200319872051,0.1,,
3303,Bob Miller,1957.0,2.0,0.1,0.024390243902439025,4.1,15.7,0.01999200319872051,0.1,,
3304,Vince Taylor,1961.0,31.0,0.1,0.3780487804878049,0.2645161290322581,16.1,0.01999200319872051,0.1,,
3305,Hamady N'Diaye,1987.0,33.0,0.1,0.4024390243902439,0.24848484848484848,18.7,0.01999200319872051,0.03333333333333333,,
3306,Robert Hahn,1926.0,10.0,0.1,0.12195121951219512,0.8200000000000001,12.6,0.01999200319872051,0.1,,
3307,Jaylen Adams,1997.0,34.0,0.1,0.4146341463414634,0.24117647058823533,19.7,0.01999200319872051,0.1,,
3308,Barry Nelson,1950.0,28.0,0.1,0.34146341463414637,0.29285714285714287,15.0,0.01999200319872051,0.1,,
3309,J.R. Giddens,1986.0,38.0,0.1,0.4634146341463415,0.21578947368421053,18.6,0.01999200319872051,0.05,,
3310,Robert Werdann,1971.0,47.0,0.1,0.573170731707317,0.174468085106383,17.1,0.01999200319872051,0.03333333333333333,,
3311,Hal Uplinger,1930.0,23.0,0.1,0.2804878048780488,0.3565217391304348,13.0,0.01999200319872051,0.1,,
3312,Ike Borsavage,1925.0,24.0,0.1,0.2926829268292683,0.34166666666666673,12.5,0.01999200319872051,0.1,,
3313,Guy Williams,1961.0,26.0,0.1,0.3170731707317073,0.3153846153846154,16.1,0.01999200319872051,0.05,,
3314,Edmund Lawrence,1953.0,3.0,0.1,0.036585365853658534,2.733333333333334,15.3,0.01999200319872051,0.1,,
3315,Ndudi Ebi,1985.0,19.0,0.1,0.23170731707317074,0.43157894736842106,18.5,0.01999200319872051,0.05,,
3316,Javaris Crittenton,1988.0,113.0,0.1,1.3780487804878048,0.07256637168141594,18.8,0.01999200319872051,0.05,,
3317,Whitey Bell,1933.0,36.0,0.1,0.43902439024390244,0.2277777777777778,13.3,0.01999200319872051,0.05,,
3318,Jacob Wiley,1995.0,5.0,0.1,0.06097560975609756,1.6400000000000001,19.5,0.01999200319872051,0.1,,
3319,Bob Knight,1930.0,2.0,0.1,0.024390243902439025,4.1,13.0,0.01999200319872051,0.1,,
3320,Tommy O'Keefe,1929.0,6.0,0.1,0.07317073170731707,1.366666666666667,12.9,0.01999200319872051,0.1,,
3321,Bob Woollard,1941.0,19.0,0.1,0.23170731707317074,0.43157894736842106,14.1,0.01999200319872051,0.1,,
3322,Joe Binion,1962.0,11.0,0.1,0.13414634146341464,0.7454545454545455,16.2,0.01999200319872051,0.1,,
3323,Edmond Sumner,1996.0,24.0,0.1,0.2926829268292683,0.34166666666666673,19.6,0.01999200319872051,0.05,,
3324,Donald Whiteside,1970.0,30.0,0.1,0.36585365853658536,0.2733333333333334,17.0,0.01999200319872051,0.05,,
3325,Hal Crisler,1924.0,4.0,0.1,0.04878048780487805,2.05,12.4,0.01999200319872051,0.1,,
3326,Dan Godfread,1968.0,11.0,0.1,0.13414634146341464,0.7454545454545455,16.8,0.01999200319872051,0.05,,
3327,B.J. Johnson,1996.0,7.0,0.1,0.08536585365853659,1.1714285714285715,19.6,0.01999200319872051,0.1,,
3328,Reggie Lacefield,1946.0,8.0,0.1,0.0975609756097561,1.025,14.6,0.01999200319872051,0.1,,
3329,Jackie Dinkins,1950.0,18.0,0.1,0.21951219512195122,0.4555555555555556,15.0,0.01999200319872051,0.1,,
3330,Al Sanders,1950.0,4.0,0.1,0.04878048780487805,2.05,15.0,0.01999200319872051,0.1,,
3331,Alex Stepheson,1988.0,8.0,0.1,0.0975609756097561,1.025,18.8,0.01999200319872051,0.1,,
3332,Jarred Vanderbilt,2000.0,17.0,0.1,0.2073170731707317,0.48235294117647065,20.0,0.01999200319872051,0.1,,
3333,Normie Glick,1928.0,1.0,0.1,0.012195121951219513,8.2,12.8,0.01999200319872051,0.1,,
3334,Jerry Grote,1941.0,11.0,0.1,0.13414634146341464,0.7454545454545455,14.1,0.01999200319872051,0.1,,
3335,Herb White,1949.0,38.0,0.1,0.4634146341463415,0.21578947368421053,14.9,0.01999200319872051,0.1,,
3336,Jay Arnette,1939.0,114.0,0.1,1.3902439024390243,0.07192982456140352,13.9,0.01999200319872051,0.03333333333333333,,
3337,Ivan McFarlin,1983.0,11.0,0.1,0.13414634146341464,0.7454545454545455,18.3,0.01999200319872051,0.1,,
3338,Tom Piotrowski,1961.0,18.0,0.1,0.21951219512195122,0.4555555555555556,16.1,0.01999200319872051,0.1,,
3339,Stan Kimbrough,1967.0,13.0,0.1,0.15853658536585366,0.6307692307692307,16.7,0.01999200319872051,0.05,,
